動作名稱,器材,重點部位,準備工作,動作要領,關鍵提示
相撲硬舉-槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Stand with your feet very wide apart and toes outwards. Squat down with arms extended to hold the bar with a shoulder width grip, one overhand and one underhand.","1.Exhale and squeeze your glutes and tighten your lats to lift the barbell until standing up straight.  2. Rotate your shoulders back until feeling slightly stretched.
3. Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1. Position your hips between the level of shoulders and knees at the starting position.
2. Move the bar vertically.
3. Brace the abs to support your straight back throughout the movement.
4. Do not pull upward using your arms or shoulders.
5. Do not thrust your hips forward at the top position."
站姿轉體 -槓鈴,槓鈴,腹部,"Stand with feet shoulder width apart. Hold the barbell across your back shoulders with hands slightly wider than shoulder width and palms facing forward.
","1. Rotate your torso to one side while keeping your lower body still.
2. Pause for a few seconds and return to the starting position slowly.
3. Complete alternating between left and right.",1.Keep a straight back and braced core during the exercise.
站姿側彎 -槓鈴,槓鈴,腹部,"Stand with feet shoulder width apart. Place the bar on the back of your shoulders and bend arms to hold it with palms facing forward.
","1. Bend at your waist and squeeze obliques to one side as far as possible.
2. Hold for a few seconds, return to the starting position and repeat.
3.  Switch to the other side and repeat the same repetitions.","1. Keep your head up throughout the movement.
2.Keep a straight back and braced core during the exercise."
站姿提踵 -槓鈴,槓鈴,腿部：小腿肌,"Stand with feet shoulder width apart. Place the bar on the back of your shoulders and bend arms to hold it with palms facing forward.
","1. Bend at your waist and squeeze obliques to one side as far as possible.
2. Hold for a few seconds, return to the starting position and repeat.
3. Switch to the other side and repeat the same repetitions.","1. Keep your head up throughout the movement.
2.Keep a straight back and braced core during the exercise."
直腿硬舉 -槓鈴,槓鈴,"背部：下背部, 腿部：腿後肌群","Stand with feet shoulder width apart. Bend at the waist with your back and legs straight and hold a barbell in an overhand grip.
","1. Exhale and squeeze your glutes and tighten your lats to lift the barbell until standing up straight.
2. Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1. Move the bar vertically.
2. Brace the abs to support your straight back throughout the movement.
3. Keep your legs straight but do not lock your knees.
4. Do not pull upward using your arms or shoulders.
5. Do not thrust your hips forward at the top position."
直立划船 -槓鈴,槓鈴,"肩膀, 背部：斜方肌","Stand with feet shoulder width apart. Hold the barbell in an overhand grip at shoulder width in front of your hips with arms extended.
","1. Raise your elbows up and out to the sides until the bar is at your chin level.
2. Contract your shoulders and hold for a few seconds.
3. Lower the bar to the starting position slowly and repeat.","1. Keep your hands moving vertically.
2. Keep your elbows higher than your forearms during the exercise.
3. Keep the bar close to your body.
4. Keep a straight back during the exercise."
抓舉拉 -槓鈴,槓鈴,全身,"Put your feet under the bar. Bend down and crouch to grip the bar with a wider than shoulder width, overhand grip.
","1. Drive your hips up and straighten your legs to pull the barbell up.
2.  Once the bar passes your mid-thigh, jump slightly.
3.  Accelerate the bar upward towards your chest.
4. Quickly move the bar down to your thighs with your body totally upright.
5. Slowly return the bar to the starting point and repeat.","1. Do not pull the bar using your arms.
2. To add difficulty, add weights gradually.
3. Keep your knees and elbows slightly bent during the exercise.
4. Keep a straight back and braced core during the exercise."
抓舉下蹲接槓 -槓鈴,槓鈴,全身,"Stand with feet shoulder width apart. Hold a barbell on your shoulders behind you with your hands slightly wider than shoulder width apart.
","1. Descend your body to a squat position while extending your arms to press the barbell over your head.
2. Brace you core and drive through your feet to stand up straight.
3. Lower the barbell to the starting position and repeat.","1.Do not flare your elbows out.
2. Do not let your knees go over your toes when you squat.
3. To add difficulty, add weights gradually.
4. Keep your knees and elbows slightly bent during the exercise.
5. Keep a straight back and braced core during the exercise."
抓舉 -槓鈴,槓鈴,全身,Put your feet under the bar. Bend down to grip the bar with a wider than shoulder width and in an overhand grip.,"1. Drive your hips up and straighten your legs to pull the barbell up.
2. Once the bar passes your mid-thigh, jump slightly and drop your body under the bar while lifting the barbell overhead with palms facing forward.
3.  As you lift the barbell, lower your hips to a front squat position.
4.  Brace you core and drive through your feet to stand up straight.
5. Lower the barbell to the starting position slowly and repeat.
","1. Do not let your knees go over your toes when you squat.
2. To add difficulty, add weights gradually.
3. Keep your knees and elbows slightly bent during the exercise.
4. Keep a straight back and braced core during the exercise."
坐姿提踵 -槓鈴,槓鈴,腿部：小腿肌,"Sit on the bench with feet together on the floor. Hold a barbell and rest it on your thighs.
","1. Exhale and slowly raise your heels up as high as possible.
2. Inhale, lower heels to the starting position slowly and repeat.","1. Keep your head, spine and neck in line and body balanced during the exercise.
2. Keep pressing the barbell against your knees during the exercise."
坐姿上舉 -槓鈴,槓鈴,肩膀,"Sit on a bench with feet on the floor. Hold the barbell in front of your shoulders with hands slightly wider than shoulder width apart and palms facing forward.
","1.  Exhale and squeeze your shoulders to lift the bar vertically until your arms are straight overhead.
2. Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1. Do not lock out your elbows at the top.
2. Do not rest the barbell on your shoulders.
3. Keep a straight back and braced core during the exercise."
硬舉高拉 -槓鈴,槓鈴,全身,"Squat down in front of the bar with your feet wider than shoulder width apart and hold it with a narrow overhand grip.
","1. Lift the bar as extending your arms to the height above your knees.
2. Retract your shoulder blades, lift your chest up and flex your elbows to bring the bar to the height of your chin.
3.  Return to the starting position slowly and repeat.","1. To add difficulty, add weights gradually.
2. Keep your hips and shoulders rising at the same rate.
3. Keep your knees and elbows slightly bent during the exercise.
4. Keep a straight back and braced core during the exercise."
硬舉 -槓鈴,槓鈴,"背部：下背部, 腿部：臀肌","Squat down in front of the barbell with your feet shoulder width apart. Hold it in an overhand grip wider than the shoulder width and arms extended.
","1. Squeeze your glutes and tighten your lats.
2. Exhale and lift the barbell until standing up straight.
Rotate your shoulders back until feeling slightly stretched.
3.  Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1.Position your hips between the level of shoulders and knees at the starting position.
2. Move the bar vertically.
3. Brace the abs to support your straight back throughout the movement.
4. Do not pull upward using your arms or shoulders.
5. Do not thrust your hips forward at the top position."
仰臥肱三頭伸展 -槓鈴,槓鈴,手臂：肱三頭肌,"Lie on a bench with feet on the floor. Hold a bar in an overhand grip with arms bent and elbows lifted.
","1. Exhale and extend your elbows to press your hands up until your arms are straight.
2. Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1. Do not lock out your elbows at the top.
2. Keep your upper arms still during the exercise.
3. Keep a straight back and braced core during the exercise."
相撲深蹲 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Take a wide stance with toes pointed outward. Hold the barbell on the back of your shoulders with hands slightly wider than shoulder width and palms facing forward.
","1. Inhale and squat down until your thighs are parallel to the floor.
Hold for a few seconds to feel the contraction.
Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1. Keep the tiptoes in the same direction as your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Do not lock out your knees at the top.
4. ﻿﻿Keep your glutes, quadriceps and hamstrings engaged."
懸吊挺舉 -槓鈴,槓鈴,全身,Stand with feet shoulder width apart. Hold the bar with hands slightly wider than shoulder width apart in an overhand grip and arms extended.,"1. Drive your hips up and straighten your legs to pull the barbell up.
2. Once the barbell passes your mid-thigh, jump slightly and drop your body under the bar with your elbows facing forward and palms facing up.
3. ﻿﻿As you receive the barbell, lower your hips to a front squat position.
4. ﻿﻿Brace you core and drive through your feet to stand up straight.
5. ﻿﻿Lower the barbell to the starting position slowly and repeat.
","1. ﻿﻿Do not let your knees go over your toes when you squat.
2. ﻿﻿To add difficulty, add weights gradually.
3. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
4. ﻿﻿Keep a straight back and braced core during the exercise."
懸吊抓舉 -槓鈴,槓鈴,全身,Stand with feet shoulder width apart. Hold the barbell with hands slightly wider than shoulder width apart in an overhand grip and arms extended.,"1.Shrug your shoulders to lift the barbell with your arms straight.
2. Once the bar passes your mid-thigh, jump slightly and drop your body under the bar while lifting the barbell overhead with palms facing forward.
3. ﻿﻿As you lift the barbell, lower your hips to a front squat position.
4. ﻿﻿Brace you core and drive through your feet to stand up straight.
5. ﻿﻿Lower the barbell to the starting position slowly and repeat.
","1. ﻿﻿Do not let your knees go over your toes when you squat.
2. ﻿﻿To add difficulty, add weights gradually.
3. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
4. ﻿﻿Keep a straight back and braced core during the exercise."
下斜板凳臥推 (寬距)  -槓鈴,槓鈴,胸部,"Lie on a bench with feet secured under the footpads. Hold the barbell above your chest with elbows bent at 90 degrees and palms facing forward.
","1.  Exhale and squeeze your chest to push the bar up to extend your arms straight.
2.  Inhale and slowly lower your bar to the starting position and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Keep a straight back and braced core during the exercise."
下斜板凳臥推 -槓鈴,槓鈴,胸部,"Lie on a bench with feet secured under the footpads. Hold the barbell over your chest with elbows bent at 90 degrees and palms facing forward.
","1.  Exhale and squeeze your chest to push the bar up to extend your arms straight.
2. Inhale and slowly lower your bar to the starting position and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Keep a straight back and braced core during the exercise."
下斜板凳上拉 -槓鈴,槓鈴,"背部：背部, 胸部","Lie on a bench with feet on the floor. Hold a barbell using an shoulder width overhand grip and press it over your chest with arms stretched.
","1. ﻿﻿Inhale to lower your arms in an arc behind your head until your arms are in line with your torso.
2. ﻿﻿Stretch out your chest and pause for a few seconds.
3. ﻿﻿Exhale to pull the barbell in arc over your head until your arms are vertical to your body.
4. ﻿﻿Repeat slowly.","1. Do not lock out your elbows at the top.
2. Keep a straight back and braced core during the exercise."
下斜曲臂上拉 -槓鈴,槓鈴,"手臂：肱三頭肌, 背部：背部","Lie on a bench with feet on the floor. Hold the barbell using a close overhand grip at shoulder width and press it over your chest with arms stretched.
","1. ﻿﻿Inhale to bend your elbows and lower your arms in an arc behind your head.
2. ﻿﻿Stretch out your chest and pause for a few seconds.
3. ﻿﻿Exhale to pull the barbell in arc over your head until your arms are vertical to your body.
4. ﻿﻿Repeat slowly.","1. Do not lock out your elbows at the top.
2. Keep a straight back and braced core during the exercise."
